,Node1,Relation,Node2,Subject,Label,Entity
1549,Business education,CLOSELY_RELATED_TO,design education,['Business_education'],['Business education'],['Thing']
1550,Chemistry education,CLOSELY_RELATED_TO,design education,"['Chemical_education', 'Chemistry']",['Chemistry education'],['Thing']
1551,Computer science education,CLOSELY_RELATED_TO,design education,"['Computer_engineering', 'Computer_science', 'Electrical_engineering', 'Electronic_engineering']",['Computer science'],['organisation']
1552,Economics education,CLOSELY_RELATED_TO,design education,['Economics_education'],['Economics education'],['Thing']
1553,Engineering education,CLOSELY_RELATED_TO,design education,"['Engineering_education', 'Educational_psychology']",['Engineering education'],['sport']
1554,Environmental education,CLOSELY_RELATED_TO,design education,"['Environmental_education', 'Alternative_education', 'Environmental_social_science', 'Outdoor_education']",['Environmental education'],['Thing']
1555,Euthenics,CLOSELY_RELATED_TO,design education,"['Euthenics', 'Hygiene', 'Public_health', 'Quality_of_life', 'Sanitation']",['Euthenics'],['book']
1556,Health education,CLOSELY_RELATED_TO,design education,['Health_education'],['Health education'],['Thing']
1557,Language education,CLOSELY_RELATED_TO,design education,"['Applied_linguistics', 'Language_education']",['Language education'],['university']
1558,Legal education,CLOSELY_RELATED_TO,design education,"['Legal_education', 'Lawyers', 'Geography-related_lists']",['Legal education'],['educational institution']
1559,Mathematics education,CLOSELY_RELATED_TO,design education,"['Articles_with_inconsistent_citation_formats', 'Mathematical_science_occupations', 'Mathematics_education']",['Mathematics education'],['company']
1560,Medical education,CLOSELY_RELATED_TO,design education,['Medical_education'],['Medical education'],['educational institution']
1561,Military education and training,CLOSELY_RELATED_TO,design education,"['Military_science', 'Military_education_and_training', 'Military_supporting_service_occupations']",['Military education and training'],['Election']
1562,Music education,CLOSELY_RELATED_TO,design education,"['Music_education', 'Occupations_in_music', 'Sociomusicology']",['Music education'],['Activity100407535']
1563,Nurse education,CLOSELY_RELATED_TO,design education,['Nursing_education'],['Nurse education'],['Thing']
1564,Peace education,CLOSELY_RELATED_TO,design education,"['Global_civics', 'Peace_education', 'Articles_containing_video_clips', 'Peace']",['Peace education'],['Election']
1565,Performing arts education,CLOSELY_RELATED_TO,design education,"['Performing_arts', 'Performing_arts_education']",['Performing arts education'],['Creation103129123']
1566,Philosophy education,CLOSELY_RELATED_TO,design education,"['Philosophy_education', 'Pedagogy']",['Philosophy education'],['company']
1567,Physical education,CLOSELY_RELATED_TO,design education,"['Sports_science', 'Education_by_subject', 'Physical_education', 'Physical_exercise']",['Physical education'],['Thing']
1568,Physics education,CLOSELY_RELATED_TO,design education,['Physics_education'],['Physics education'],['Thing']
1569,Reading education in the United States,CLOSELY_RELATED_TO,design education,[],[],[]
1570,Religious education,CLOSELY_RELATED_TO,design education,['Religious_education'],['Religious education'],['university']
1571,Science education,CLOSELY_RELATED_TO,design education,['Science_education'],['Science education'],['Thing']
1572,Sex education,CLOSELY_RELATED_TO,design education,"['Sex_education', 'Midwifery', 'Prevention_of_HIV/AIDS', 'Sexuality_and_society']",['Sex education'],['programming language']
1573,Teacher education,CLOSELY_RELATED_TO,design education,['Teacher_training'],['Teacher education'],['Thing']
1574,Technology education,CLOSELY_RELATED_TO,design education,"['Education_by_subject', 'Educational_technology', 'Applied_learning']",['Technology education'],['book']
1575,Values education,CLOSELY_RELATED_TO,design education,['Educational_programs'],['Values education'],['Election']
1576,Vocational education,CLOSELY_RELATED_TO,design education,"['Tertiary_education', 'Alternative_education', 'Life_skills', 'Vocational_education']",['Vocational education'],['educational institution']
1577,Autodidacticism,CLOSELY_RELATED_TO,design education,"['Alternative_education', 'Educational_psychology', 'Learning_methods']",['Autodidacticism'],['Band']
1578,Education reform,CLOSELY_RELATED_TO,design education,"['Education_issues', 'Education_reform', 'History_of_education', 'Youth']",['Education reform'],['PsychologicalFeature100023100']
1579,Gifted education,CLOSELY_RELATED_TO,design education,"['Gifted_education', 'Alternative_education', 'School_terminology']",['Gifted education'],['Thing']
1580,Homeschooling,CLOSELY_RELATED_TO,design education,"['Home', 'Homeschooling', 'School_types']",['Homeschooling'],['educational institution']
1581,Religious education,CLOSELY_RELATED_TO,design education,['Religious_education'],['Religious education'],['university']
1582,Special education,CLOSELY_RELATED_TO,design education,"['Youth_rights', 'Disability', 'Special_education', 'Youth', 'Segregation', 'Educational_programs']",['Special education'],['company']
1583,Alternative education,CLOSELY_RELATED_TO,design education,"['Alternative_education', 'School_types']",['Alternative education'],['Thing']
1584,Homeschooling,CLOSELY_RELATED_TO,design education,"['Home', 'Homeschooling', 'School_types']",['Homeschooling'],['educational institution']
1585,Homeschooling,CLOSELY_RELATED_TO,design education,"['Home', 'Homeschooling', 'School_types']",['Homeschooling'],['educational institution']
1586,Adult education,CLOSELY_RELATED_TO,design education,"['Educational_stages', 'Adult_education']",['Adult education'],['company']
1587,Homeschooling,CLOSELY_RELATED_TO,design education,"['Home', 'Homeschooling', 'School_types']",['Homeschooling'],['educational institution']
1588,Education in Algeria,CLOSELY_RELATED_TO,design education,['Education_in_Algeria'],['Education in Algeria'],['Activity100407535']
1589,Education in Angola,CLOSELY_RELATED_TO,design education,[],[],[]
1590,Education in Benin,CLOSELY_RELATED_TO,design education,[],[],[]
1591,Education in Botswana,CLOSELY_RELATED_TO,design education,['Education_in_Botswana'],['Education in Botswana'],['Thing']
1592,Education in Burkina Faso,CLOSELY_RELATED_TO,design education,['Education_in_Burkina_Faso'],['Education in Burkina Faso'],['Thing']
1593,Education in Burundi,CLOSELY_RELATED_TO,design education,[],[],[]
1594,Education in Cameroon,CLOSELY_RELATED_TO,design education,['Education_in_Cameroon'],['Education in Cameroon'],['Thing']
1595,Education in Cape Verde,CLOSELY_RELATED_TO,design education,[],[],[]
1596,Education in the Central African Republic,CLOSELY_RELATED_TO,design education,[],[],[]
1597,Education in Chad,CLOSELY_RELATED_TO,design education,[],[],[]
1598,Education in the Comoros,CLOSELY_RELATED_TO,design education,[],[],[]
1599,Education in the Democratic Republic of the Congo,CLOSELY_RELATED_TO,design education,['Education_in_the_Democratic_Republic_of_the_Congo'],['Education in the Democratic Republic of the Congo'],['Thing']
1600,Education in the Republic of the Congo,CLOSELY_RELATED_TO,design education,['Education_in_the_Republic_of_the_Congo'],['Education in the Republic of the Congo'],['musical artist']
1601,Education in Djibouti,CLOSELY_RELATED_TO,design education,[],[],[]
1602,Education in Egypt,CLOSELY_RELATED_TO,design education,['Education_in_Egypt'],['Education in Egypt'],['Thing']
1603,Education in Equatorial Guinea,CLOSELY_RELATED_TO,design education,[],[],[]
1604,Education in Eritrea,CLOSELY_RELATED_TO,design education,['Education_in_Eritrea'],['Education in Eritrea'],['Activity100407535']
1605,Education in Eswatini,CLOSELY_RELATED_TO,design education,[],[],[]
1606,Education in Ethiopia,CLOSELY_RELATED_TO,design education,['Education_in_Ethiopia'],['Education in Ethiopia'],['Thing']
1607,Education in Gabon,CLOSELY_RELATED_TO,design education,['Education_in_Gabon'],['Education in Gabon'],['Thing']
1608,Education in the Gambia,CLOSELY_RELATED_TO,design education,['Education_in_the_Gambia'],['Education in the Gambia'],['Thing']
1609,Education in Ghana,CLOSELY_RELATED_TO,design education,['Education_in_Ghana'],['Education in Ghana'],['Activity100407535']
1610,Education in Guinea,CLOSELY_RELATED_TO,design education,[],[],[]
1611,Education in Guinea-Bissau,CLOSELY_RELATED_TO,design education,[],[],[]
1612,Education in Ivory Coast,CLOSELY_RELATED_TO,design education,[],[],[]
1613,Education in Kenya,CLOSELY_RELATED_TO,design education,['Education_in_Kenya'],['Education in Kenya'],['Activity100407535']
1614,Education in Lesotho,CLOSELY_RELATED_TO,design education,[],[],[]
1615,Education in Liberia,CLOSELY_RELATED_TO,design education,"['Education_in_Liberia', 'Liberian_society']",['Education in Liberia'],['Thing']
1616,Education in Libya,CLOSELY_RELATED_TO,design education,[],[],[]
1617,Education in Madagascar,CLOSELY_RELATED_TO,design education,[],[],[]
1618,Education in Malawi,CLOSELY_RELATED_TO,design education,[],[],[]
1619,Education in Mali,CLOSELY_RELATED_TO,design education,[],[],[]
1620,Education in Mauritania,CLOSELY_RELATED_TO,design education,"['Education_in_Africa', 'Education_in_Mauritania']",['Education in Mauritania'],['Thing']
1621,Education in Mauritius,CLOSELY_RELATED_TO,design education,['Education_in_Mauritius'],['Education in Mauritius'],['Activity100407535']
1622,Education in Morocco,CLOSELY_RELATED_TO,design education,[],[],[]
1623,Education in Mozambique,CLOSELY_RELATED_TO,design education,['Education_in_Mozambique'],['Education in Mozambique'],['Thing']
1624,Education in Namibia,CLOSELY_RELATED_TO,design education,[],[],[]
1625,Education in Niger,CLOSELY_RELATED_TO,design education,[],[],[]
1626,Education in Nigeria,CLOSELY_RELATED_TO,design education,['Education_in_Nigeria'],['Education in Nigeria'],['Thing']
1627,Education in Rwanda,CLOSELY_RELATED_TO,design education,['Education_in_Rwanda'],['Education in Rwanda'],['Thing']
1628,Education in São Tomé and Príncipe,CLOSELY_RELATED_TO,design education,[],[],[]
1629,Education in Senegal,CLOSELY_RELATED_TO,design education,['Education_in_Senegal'],['Education in Senegal'],['Activity100407535']
1630,Education in Seychelles,CLOSELY_RELATED_TO,design education,[],[],[]
1631,Education in Sierra Leone,CLOSELY_RELATED_TO,design education,[],[],[]
1632,Education in Somalia,CLOSELY_RELATED_TO,design education,[],[],[]
1633,Education in South Africa,CLOSELY_RELATED_TO,design education,['Education_in_South_Africa'],['Education in South Africa'],['Thing']
1634,Education in South Sudan,CLOSELY_RELATED_TO,design education,[],[],[]
1635,Education in Sudan,CLOSELY_RELATED_TO,design education,['Education_in_Sudan'],['Education in Sudan'],['Thing']
1636,Education in Tanzania,CLOSELY_RELATED_TO,design education,['Education_in_Tanzania'],['Education in Tanzania'],['Thing']
1637,Education in Togo,CLOSELY_RELATED_TO,design education,[],[],[]
1638,Education in Tunisia,CLOSELY_RELATED_TO,design education,[],[],[]
1639,Education in Uganda,CLOSELY_RELATED_TO,design education,"['Uganda', 'Education_in_Uganda']",['Education in Uganda'],['Thing']
1640,Education in Zambia,CLOSELY_RELATED_TO,design education,['Education_in_Zambia'],['Education in Zambia'],['Thing']
1641,Education in Zimbabwe,CLOSELY_RELATED_TO,design education,[],[],[]
1642,Education in the Sahrawi Arab Democratic Republic (page does not exist),CLOSELY_RELATED_TO,design education,[],[],[]
1643,Education in Somaliland,CLOSELY_RELATED_TO,design education,"['Education_in_Somaliland', 'Education_in_Somalia']",['Education in Somaliland'],['Thing']
1644,Education in the Canary Islands (page does not exist),CLOSELY_RELATED_TO,design education,[],[],[]
1645,Education in Ceuta (page does not exist),CLOSELY_RELATED_TO,design education,[],[],[]
1646,Education in Melilla (page does not exist),CLOSELY_RELATED_TO,design education,[],[],[]
1647,Education in Madeira (page does not exist),CLOSELY_RELATED_TO,design education,[],[],[]
1648,Education in Mayotte (page does not exist),CLOSELY_RELATED_TO,design education,[],[],[]
1649,Education in Réunion (page does not exist),CLOSELY_RELATED_TO,design education,[],[],[]
1650,Education in Saint Helena,CLOSELY_RELATED_TO,design education,[],[],[]
1651,Education in Ascension Island (page does not exist),CLOSELY_RELATED_TO,design education,[],[],[]
1652,Education in Tristan da Cunha,CLOSELY_RELATED_TO,design education,[],[],[]
1653,Education in Afghanistan,CLOSELY_RELATED_TO,design education,['Education_in_Afghanistan'],['Education in Afghanistan'],['Thing']
1654,Education in Armenia,CLOSELY_RELATED_TO,design education,['Education_in_Armenia'],['Education in Armenia'],['Thing']
1655,Education in Azerbaijan,CLOSELY_RELATED_TO,design education,['Education_in_Azerbaijan'],['Education in Azerbaijan'],['Thing']
1656,Education in Bahrain,CLOSELY_RELATED_TO,design education,[],[],[]
1657,Education in Bangladesh,CLOSELY_RELATED_TO,design education,['Education_in_Bangladesh'],['Education in Bangladesh'],['Activity100407535']
1658,Education in Bhutan,CLOSELY_RELATED_TO,design education,[],[],[]
1659,Education in Brunei,CLOSELY_RELATED_TO,design education,[],[],[]
1660,Education in Cambodia,CLOSELY_RELATED_TO,design education,['Education_in_Cambodia'],['Education in Cambodia'],['Activity100407535']
1661,Education in China,CLOSELY_RELATED_TO,design education,['Education_in_China'],['Education in China'],['Activity100407535']
1662,Education in Cyprus,CLOSELY_RELATED_TO,design education,[],[],[]
1663,Education in East Timor (page does not exist),CLOSELY_RELATED_TO,design education,[],[],[]
1664,Education in Egypt,CLOSELY_RELATED_TO,design education,['Education_in_Egypt'],['Education in Egypt'],['Thing']
1665,Education in Georgia (country),CLOSELY_RELATED_TO,design education,[],[],[]
1666,Education in India,CLOSELY_RELATED_TO,design education,"['Education_in_Asia', 'Education_in_India']",['Education in India'],['Activity100407535']
1667,Education in Indonesia,CLOSELY_RELATED_TO,design education,['Education_in_Indonesia'],['Education in Indonesia'],['Activity100407535']
1668,Education in Iran,CLOSELY_RELATED_TO,design education,"['Economy_of_Iran', 'Education_in_Iran']",['Education in Iran'],['Thing']
1669,Education in Iraq,CLOSELY_RELATED_TO,design education,['Education_in_Iraq'],['Education in Iraq'],['Thing']
1670,Education in Israel,CLOSELY_RELATED_TO,design education,['Education_in_Israel'],['Education in Israel'],['Institution108053576']
1671,Education in Japan,CLOSELY_RELATED_TO,design education,"['Education_in_Japan', 'Japanese_values']",['Education in Japan'],['Activity100407535']
1672,Education in Jordan,CLOSELY_RELATED_TO,design education,['Education_in_Jordan'],['Education in Jordan'],['Thing']
1673,Education in Kazakhstan,CLOSELY_RELATED_TO,design education,"['Education_in_Kazakhstan', 'Education_in_the_Soviet_Union']",['Education in Kazakhstan'],['Thing']
1674,Education in North Korea,CLOSELY_RELATED_TO,design education,['Education_in_North_Korea'],['Education in North Korea'],['Thing']
1675,Education in South Korea,CLOSELY_RELATED_TO,design education,['Education_in_South_Korea'],['Education in South Korea'],['Activity100407535']
1676,Education in Kuwait,CLOSELY_RELATED_TO,design education,[],[],[]
1677,Education in Kyrgyzstan,CLOSELY_RELATED_TO,design education,[],[],[]
1678,Education in Laos,CLOSELY_RELATED_TO,design education,[],[],[]
1679,Education in Lebanon,CLOSELY_RELATED_TO,design education,['Education_in_Lebanon'],['Education in Lebanon'],['Thing']
1680,Education in Malaysia,CLOSELY_RELATED_TO,design education,['Education_in_Malaysia'],['Education in Malaysia'],['Activity100407535']
1681,Education in the Maldives,CLOSELY_RELATED_TO,design education,"['Education_in_the_Maldives', 'Maldives_education-related_lists', 'Lists_of_universities_and_colleges_in_Asia']",['Education in the Maldives'],['Thing']
1682,Education in Mongolia,CLOSELY_RELATED_TO,design education,[],[],[]
1683,Education in Myanmar,CLOSELY_RELATED_TO,design education,['Education_in_Myanmar'],['Education in Myanmar'],['Activity100407535']
1684,Education in Nepal,CLOSELY_RELATED_TO,design education,['Education_in_Nepal'],['Education in Nepal'],['Activity100407535']
1685,Education in Oman,CLOSELY_RELATED_TO,design education,['Education_in_Oman'],['Education in Oman'],['Thing']
1686,Education in Pakistan,CLOSELY_RELATED_TO,design education,['Education_in_Pakistan'],['Education in Pakistan'],['Activity100407535']
1687,Education in the Philippines,CLOSELY_RELATED_TO,design education,[],[],[]
1688,Education in Qatar,CLOSELY_RELATED_TO,design education,['Education_in_Qatar'],['Education in Qatar'],['Thing']
1689,Education in Russia,CLOSELY_RELATED_TO,design education,['Education_in_Russia'],['Education in Russia'],['Thing']
1690,Education in Saudi Arabia,CLOSELY_RELATED_TO,design education,['Education_in_Saudi_Arabia'],['Education in Saudi Arabia'],['Thing']
1691,Education in Singapore,CLOSELY_RELATED_TO,design education,['Education_in_Singapore'],['Education in Singapore'],['Activity100407535']
1692,Education in Sri Lanka,CLOSELY_RELATED_TO,design education,['Education_in_Sri_Lanka'],['Education in Sri Lanka'],['Activity100407535']
1693,Education in Syria,CLOSELY_RELATED_TO,design education,['Education_in_Syria'],['Education in Syria'],['Thing']
1694,Education in Tajikistan,CLOSELY_RELATED_TO,design education,[],[],[]
1695,Education in Thailand,CLOSELY_RELATED_TO,design education,"['Education_in_Thailand', 'Thai_society', 'Education_in_Southeast_Asia']",['Education in Thailand'],['Activity100407535']
