,Node1,Relation,Node2
20463,infection control,SUBJECT,epidemiology
20464,infection control,SUBJECT,infectious diseases
20465,infection control,SUBJECT,medical hygiene
20466,infection control,SUBJECT,public health
20467,oral hygiene,CLOSELY_RELATED_TO,human factors
20468,oral hygiene,SUBJECT,oral hygiene
20469,oral hygiene,SUBJECT,periodontology
20470,occupational hygiene,CLOSELY_RELATED_TO,human factors
20471,occupational hygiene,SUBJECT,industrial hygiene
20472,occupational hygiene,SUBJECT,exposure assessment
20473,occupational hygiene,SUBJECT,health sciences
20474,occupational hygiene,SUBJECT,occupational safety and health
20475,injury prevention,CLOSELY_RELATED_TO,human factors
20476,injury prevention,SUBJECT,safety
20477,injury prevention,SUBJECT,biostatistics
20478,injury prevention,SUBJECT,public health
20479,injury prevention,SUBJECT,working conditions
20480,occupational medicine,CLOSELY_RELATED_TO,human factors
20481,occupational medicine,SUBJECT,medical specialties
20482,occupational medicine,SUBJECT,occupational diseases
20483,occupational medicine,SUBJECT,occupational safety and health
20484,occupational health nursing,CLOSELY_RELATED_TO,human factors
20485,occupational health nursing,SUBJECT,nursing specialties
20486,occupational health nursing,SUBJECT,occupational safety and health
20487,occupational health nursing,SUBJECT,public health
20488,patient safety organization,CLOSELY_RELATED_TO,human factors
20489,patient safety organization,SUBJECT,health care
20490,patient safety organization,SUBJECT,patient safety
20491,emergency sanitation,CLOSELY_RELATED_TO,human factors
20492,fecal–oral route,CLOSELY_RELATED_TO,human factors
20493,fecal–oral route,SUBJECT,parasitology
20494,fecal–oral route,SUBJECT,infectious diseases
20495,fecal–oral route,SUBJECT,sanitation
20496,open defecation,CLOSELY_RELATED_TO,human factors
20497,open defecation,SUBJECT,hygiene
20498,open defecation,SUBJECT,water supply and sanitation by country
20499,open defecation,SUBJECT,public health
20500,open defecation,SUBJECT,sanitation
20501,sanitary sewer,CLOSELY_RELATED_TO,human factors
20502,sanitary sewer,SUBJECT,water pollution
20503,sanitary sewer,SUBJECT,environmental engineering
20504,sanitary sewer,SUBJECT,sewerage infrastructure
20505,waterborne diseases,CLOSELY_RELATED_TO,human factors
20506,waterborne diseases,SUBJECT,drinking water
20507,waterborne diseases,SUBJECT,sanitation
20508,waterborne diseases,SUBJECT,waterborne diseases
20509,biostatistics,CLOSELY_RELATED_TO,human factors
20510,biostatistics,SUBJECT,bioinformatics
20511,biostatistics,SUBJECT,biostatistics
20512,biostatistics,SUBJECT,demography
20513,biostatistics,SUBJECT,public health
20514,child mortality,CLOSELY_RELATED_TO,human factors
20515,child mortality,SUBJECT,hygiene
20516,child mortality,SUBJECT,death of children
20517,child mortality,SUBJECT,demography
20518,child mortality,SUBJECT,global health
20519,child mortality,SUBJECT,public health
20520,child mortality,SUBJECT,sanitation
20521,community health,CLOSELY_RELATED_TO,human factors
20522,community health,SUBJECT,community
20523,community health,SUBJECT,public health
