,Node1,Relation,Node2
6163,hodges–lehmann estimator,CLOSELY_RELATED_TO,chemometrics
6164,mann–whitney u test,CLOSELY_RELATED_TO,chemometrics
6165,nonparametric statistics,CLOSELY_RELATED_TO,chemometrics
6166,nonparametric statistics,SUBJECT,nonparametric statistics
6167,nonparametric statistics,SUBJECT,robust statistics
6168,nonparametric statistics,SUBJECT,statistical inference
6169,analysis of variance,CLOSELY_RELATED_TO,chemometrics
6170,analysis of variance,SUBJECT,analysis of variance
6171,analysis of variance,SUBJECT,design of experiments
6172,analysis of variance,SUBJECT,parametric statistics
6173,analysis of variance,SUBJECT,statistical tests
6174,kruskal–wallis one-way analysis of variance,CLOSELY_RELATED_TO,chemometrics
6175,friedman test,CLOSELY_RELATED_TO,chemometrics
6176,friedman test,SUBJECT,milton friedman
6177,friedman test,SUBJECT,nonparametric statistics
6178,friedman test,SUBJECT,statistical tests
6179,jonckheere's trend test,CLOSELY_RELATED_TO,chemometrics
6180,kruskal–wallis one-way analysis of variance,CLOSELY_RELATED_TO,chemometrics
6181,friedman test,CLOSELY_RELATED_TO,chemometrics
6182,friedman test,SUBJECT,milton friedman
6183,friedman test,SUBJECT,nonparametric statistics
6184,friedman test,SUBJECT,statistical tests
6185,jonckheere's trend test,CLOSELY_RELATED_TO,chemometrics
6186,sample median,CLOSELY_RELATED_TO,chemometrics
6187,sample median,SUBJECT,means
6188,sample median,SUBJECT,robust statistics
6189,hodges–lehmann estimator,CLOSELY_RELATED_TO,chemometrics
6190,kruskal–wallis one-way analysis of variance,CLOSELY_RELATED_TO,chemometrics
6191,friedman test,CLOSELY_RELATED_TO,chemometrics
6192,friedman test,SUBJECT,milton friedman
6193,friedman test,SUBJECT,nonparametric statistics
6194,friedman test,SUBJECT,statistical tests
6195,jonckheere's trend test,CLOSELY_RELATED_TO,chemometrics
6196,bayesian probability,CLOSELY_RELATED_TO,chemometrics
6197,bayesian probability,SUBJECT,bayesian statistics
6198,bayesian probability,SUBJECT,justification
6199,bayesian probability,SUBJECT,philosophy of mathematics
6200,bayesian probability,SUBJECT,philosophy of science
6201,bayesian probability,SUBJECT,probability interpretations
6202,prior probability,CLOSELY_RELATED_TO,chemometrics
6203,prior probability,SUBJECT,bayesian statistics
6204,prior probability,SUBJECT,probability assessment
6205,posterior probability,CLOSELY_RELATED_TO,chemometrics
6206,posterior probability,SUBJECT,bayesian statistics
6207,prior probability,CLOSELY_RELATED_TO,chemometrics
6208,prior probability,SUBJECT,bayesian statistics
6209,prior probability,SUBJECT,probability assessment
6210,posterior probability,CLOSELY_RELATED_TO,chemometrics
6211,posterior probability,SUBJECT,bayesian statistics
6212,credible interval,CLOSELY_RELATED_TO,chemometrics
6213,credible interval,SUBJECT,bayesian statistics
6214,credible interval,SUBJECT,statistical inference
6215,credible interval,SUBJECT,statistical intervals
6216,bayes factor,CLOSELY_RELATED_TO,chemometrics
6217,bayes factor,SUBJECT,bayesian inference
6218,bayes factor,SUBJECT,model selection
6219,bayes factor,SUBJECT,statistical ratios
6220,bayes estimator,CLOSELY_RELATED_TO,chemometrics
6221,bayes estimator,SUBJECT,bayesian inference
6222,bayes estimator,SUBJECT,bayesian statistics
6223,bayes estimator,SUBJECT,estimation theory
6224,maximum a posteriori estimation,CLOSELY_RELATED_TO,chemometrics
6225,maximum a posteriori estimation,CLOSELY_RELATED_TO,chemometrics
6226,prior probability,CLOSELY_RELATED_TO,chemometrics
6227,prior probability,SUBJECT,bayesian statistics
6228,prior probability,SUBJECT,probability assessment
6229,posterior probability,CLOSELY_RELATED_TO,chemometrics
6230,posterior probability,SUBJECT,bayesian statistics
6231,maximum a posteriori estimation,CLOSELY_RELATED_TO,chemometrics
6232,correlation and dependence,CLOSELY_RELATED_TO,chemometrics
6233,correlation and dependence,SUBJECT,covariance and correlation
6234,correlation and dependence,SUBJECT,dimensionless numbers
6235,correlation and dependence,SUBJECT,independence (probability theory)
6236,regression analysis,CLOSELY_RELATED_TO,chemometrics
6237,regression analysis,SUBJECT,actuarial science
6238,regression analysis,SUBJECT,estimation theory
6239,regression analysis,SUBJECT,regression analysis
6240,regression analysis,SUBJECT,statistical methods
6241,pearson product-moment correlation coefficient,CLOSELY_RELATED_TO,chemometrics
6242,pearson product-moment correlation coefficient,SUBJECT,statistical ratios
6243,pearson product-moment correlation coefficient,SUBJECT,covariance and correlation
6244,pearson product-moment correlation coefficient,SUBJECT,independence (probability theory)
6245,pearson product-moment correlation coefficient,SUBJECT,parametric statistics
6246,partial correlation,CLOSELY_RELATED_TO,chemometrics
6247,partial correlation,SUBJECT,covariance and correlation
6248,partial correlation,SUBJECT,time series analysis
6249,confounding,CLOSELY_RELATED_TO,chemometrics
6250,confounding,SUBJECT,causal inference
6251,confounding,SUBJECT,analysis of variance
6252,confounding,SUBJECT,design of experiments
6253,coefficient of determination,CLOSELY_RELATED_TO,chemometrics
6254,coefficient of determination,SUBJECT,statistical ratios
6255,coefficient of determination,SUBJECT,regression analysis
6256,coefficient of determination,SUBJECT,least squares
6257,errors and residuals in statistics,CLOSELY_RELATED_TO,chemometrics
6258,errors and residuals in statistics,SUBJECT,error
6259,errors and residuals in statistics,SUBJECT,measurement
6260,errors and residuals in statistics,SUBJECT,regression analysis
6261,errors and residuals in statistics,SUBJECT,statistical deviation and dispersion
6262,errors and residuals in statistics,SUBJECT,statistical theory
6263,regression validation,CLOSELY_RELATED_TO,chemometrics
6264,regression validation,SUBJECT,regression analysis
6265,regression validation,SUBJECT,statistical inference
6266,regression validation,SUBJECT,statistical models
6267,regression validation,SUBJECT,regression diagnostics
6268,mixed model,CLOSELY_RELATED_TO,chemometrics
6269,mixed model,SUBJECT,analysis of variance
6270,mixed model,SUBJECT,regression analysis
6271,mixed model,SUBJECT,statistical methods
6272,simultaneous equations model,CLOSELY_RELATED_TO,chemometrics
6273,simultaneous equations model,SUBJECT,multivariate statistics
6274,simultaneous equations model,SUBJECT,simultaneous equation methods (econometrics)
6275,multivariate adaptive regression splines,CLOSELY_RELATED_TO,chemometrics
6276,multivariate adaptive regression splines,SUBJECT,machine learning
6277,multivariate adaptive regression splines,SUBJECT,regression analysis
6278,simple linear regression,CLOSELY_RELATED_TO,chemometrics
6279,simple linear regression,SUBJECT,estimation theory
6280,simple linear regression,SUBJECT,parametric statistics
6281,simple linear regression,SUBJECT,regression analysis
6282,ordinary least squares,CLOSELY_RELATED_TO,chemometrics
6283,ordinary least squares,SUBJECT,estimation theory
6284,ordinary least squares,SUBJECT,parametric statistics
6285,ordinary least squares,SUBJECT,regression analysis
6286,ordinary least squares,SUBJECT,least squares
6287,general linear model,CLOSELY_RELATED_TO,chemometrics
6288,general linear model,SUBJECT,multivariate statistics
6289,general linear model,SUBJECT,regression analysis
6290,bayesian linear regression,CLOSELY_RELATED_TO,chemometrics
6291,bayesian linear regression,SUBJECT,bayesian inference
6292,bayesian linear regression,SUBJECT,regression analysis
6293,nonlinear regression,CLOSELY_RELATED_TO,chemometrics
6294,nonlinear regression,SUBJECT,regression analysis
6295,nonparametric regression,CLOSELY_RELATED_TO,chemometrics
6296,nonparametric regression,SUBJECT,nonparametric statistics
6297,nonparametric regression,SUBJECT,regression analysis
6298,nonparametric regression,SUBJECT,nonparametric regression
6299,semiparametric regression,CLOSELY_RELATED_TO,chemometrics
6300,semiparametric regression,SUBJECT,nonparametric statistics
6301,semiparametric regression,SUBJECT,regression analysis
6302,isotonic regression,CLOSELY_RELATED_TO,chemometrics
6303,isotonic regression,SUBJECT,numerical analysis
6304,isotonic regression,SUBJECT,regression analysis
6305,isotonic regression,SUBJECT,nonparametric bayesian statistics
6306,isotonic regression,SUBJECT,nonparametric regression
6307,robust regression,CLOSELY_RELATED_TO,chemometrics
6308,robust regression,SUBJECT,regression analysis
6309,robust regression,SUBJECT,robust statistics
6310,robust regression,SUBJECT,robust regression
6311,heteroscedasticity,CLOSELY_RELATED_TO,chemometrics
6312,heteroscedasticity,SUBJECT,regression analysis
6313,heteroscedasticity,SUBJECT,statistical deviation and dispersion
6314,heteroscedasticity,SUBJECT,time series analysis
6315,homoscedasticity,CLOSELY_RELATED_TO,chemometrics
6316,homoscedasticity,SUBJECT,statistical deviation and dispersion
6317,exponential family,CLOSELY_RELATED_TO,chemometrics
6318,exponential family,SUBJECT,types of probability distributions
6319,exponential family,SUBJECT,continuous distributions
6320,exponential family,SUBJECT,discrete distributions
6321,exponential family,SUBJECT,exponentials
6322,logistic regression,CLOSELY_RELATED_TO,chemometrics
6323,logistic regression,SUBJECT,prediction
6324,logistic regression,SUBJECT,regression analysis
6325,logistic regression,SUBJECT,log-linear models
6326,binomial regression,CLOSELY_RELATED_TO,chemometrics
6327,binomial regression,SUBJECT,generalized linear models
6328,poisson regression,CLOSELY_RELATED_TO,chemometrics
6329,poisson regression,SUBJECT,generalized linear models
6330,poisson regression,SUBJECT,categorical data
6331,analysis of variance,CLOSELY_RELATED_TO,chemometrics
6332,analysis of variance,SUBJECT,analysis of variance
6333,analysis of variance,SUBJECT,design of experiments
6334,analysis of variance,SUBJECT,parametric statistics
6335,analysis of variance,SUBJECT,statistical tests
6336,analysis of covariance,CLOSELY_RELATED_TO,chemometrics
6337,analysis of covariance,SUBJECT,analysis of variance
6338,analysis of covariance,SUBJECT,covariance and correlation
6339,multivariate analysis of variance,CLOSELY_RELATED_TO,chemometrics
6340,multivariate analysis of variance,SUBJECT,analysis of variance
6341,multivariate analysis of variance,SUBJECT,design of experiments
6342,degrees of freedom (statistics),CLOSELY_RELATED_TO,chemometrics
6343,degrees of freedom (statistics),SUBJECT,statistical theory
6344,cohen's kappa,CLOSELY_RELATED_TO,chemometrics
6345,cohen's kappa,SUBJECT,inter-rater reliability
6346,cohen's kappa,SUBJECT,nonparametric statistics
6347,cohen's kappa,SUBJECT,categorical data
6348,contingency table,CLOSELY_RELATED_TO,chemometrics
6349,contingency table,SUBJECT,independence (probability theory)
6350,contingency table,SUBJECT,infographics
6351,contingency table,SUBJECT,categorical data
6352,graphical model,CLOSELY_RELATED_TO,chemometrics
6353,graphical model,SUBJECT,bayesian statistics
6354,graphical model,SUBJECT,statistical models
6355,graphical model,SUBJECT,graphical models
6356,poisson regression,CLOSELY_RELATED_TO,chemometrics
6357,poisson regression,SUBJECT,generalized linear models
6358,poisson regression,SUBJECT,categorical data
6359,mcnemar's test,CLOSELY_RELATED_TO,chemometrics
6360,general linear model,CLOSELY_RELATED_TO,chemometrics
6361,general linear model,SUBJECT,multivariate statistics
6362,general linear model,SUBJECT,regression analysis
6363,multivariate analysis of variance,CLOSELY_RELATED_TO,chemometrics
6364,multivariate analysis of variance,SUBJECT,analysis of variance
6365,multivariate analysis of variance,SUBJECT,design of experiments
6366,principal component analysis,CLOSELY_RELATED_TO,chemometrics
6367,principal component analysis,SUBJECT,multivariate statistics
6368,principal component analysis,SUBJECT,dimension reduction
6369,principal component analysis,SUBJECT,matrix decompositions
6370,canonical correlation,CLOSELY_RELATED_TO,chemometrics
6371,canonical correlation,SUBJECT,covariance and correlation
6372,canonical correlation,SUBJECT,multivariate statistics
6373,linear discriminant analysis,CLOSELY_RELATED_TO,chemometrics
6374,linear discriminant analysis,SUBJECT,classification algorithms
6375,linear discriminant analysis,SUBJECT,multivariate statistics
6376,linear discriminant analysis,SUBJECT,statistical classification
6377,cluster analysis,CLOSELY_RELATED_TO,chemometrics
6378,cluster analysis,SUBJECT,data mining
6379,cluster analysis,SUBJECT,geostatistics
6380,cluster analysis,SUBJECT,cluster analysis
6381,statistical classification,CLOSELY_RELATED_TO,chemometrics
6382,statistical classification,SUBJECT,classification algorithms
