,Node1,Relation,Node2
5151,benjamin franklin medal (franklin institute),CLOSELY_RELATED_TO,john mccarthy (computer scientist)
5152,franklin institute,CLOSELY_RELATED_TO,john mccarthy (computer scientist)
5153,franklin institute,SUBJECT,association of science-technology centers member institutions
5154,franklin institute,SUBJECT,museums in philadelphia
5155,franklin institute,SUBJECT,national register of historic places in philadelphia
5156,franklin institute,SUBJECT,imax venues
5157,franklin institute,SUBJECT,1824 establishments in pennsylvania
5158,franklin institute,SUBJECT,biographical museums in pennsylvania
5159,franklin institute,SUBJECT,franklin institute
5160,franklin institute,SUBJECT,"logan square, philadelphia"
5161,franklin institute,SUBJECT,science museums in pennsylvania
5162,franklin institute,SUBJECT,museums established in 1825
5163,ieee intelligent systems,CLOSELY_RELATED_TO,john mccarthy (computer scientist)
5164,stanford university,CLOSELY_RELATED_TO,john mccarthy (computer scientist)
5165,stanford university,SUBJECT,1891 establishments in california
5166,stanford university,SUBJECT,educational institutions established in 1891
5167,stanford university,SUBJECT,private universities and colleges in california
5168,stanford university,SUBJECT,romanesque revival architecture in california
5169,stanford university,SUBJECT,schools accredited by the western association of schools and colleges
5170,stanford university,SUBJECT,stanford university
5171,stanford university,SUBJECT,"universities and colleges in santa clara county, california"
5172,wayback machine,CLOSELY_RELATED_TO,john mccarthy (computer scientist)
5173,wayback machine,SUBJECT,internet archive projects
5174,wayback machine,SUBJECT,web archiving initiatives
5175,wayback machine,SUBJECT,history of the internet
5176,wayback machine,SUBJECT,internet properties established in 1996
5177,wayback machine,SUBJECT,web archiving
5178,wayback machine,CLOSELY_RELATED_TO,john mccarthy (computer scientist)
5179,wayback machine,SUBJECT,internet archive projects
5180,wayback machine,SUBJECT,web archiving initiatives
5181,wayback machine,SUBJECT,history of the internet
5182,wayback machine,SUBJECT,internet properties established in 1996
5183,wayback machine,SUBJECT,web archiving
5184,wayback machine,CLOSELY_RELATED_TO,john mccarthy (computer scientist)
5185,wayback machine,SUBJECT,internet archive projects
5186,wayback machine,SUBJECT,web archiving initiatives
5187,wayback machine,SUBJECT,history of the internet
5188,wayback machine,SUBJECT,internet properties established in 1996
5189,wayback machine,SUBJECT,web archiving
5190,doi (identifier),CLOSELY_RELATED_TO,john mccarthy (computer scientist)
5191,citeseerx (identifier),CLOSELY_RELATED_TO,john mccarthy (computer scientist)
5192,doi (identifier),CLOSELY_RELATED_TO,john mccarthy (computer scientist)
5193,electronic transactions on artificial intelligence,CLOSELY_RELATED_TO,john mccarthy (computer scientist)
5194,journal of the acm,SEE_ALSO,communications of the acm
5195,the art of computer programming,CLOSELY_RELATED_TO,donald knuth
5196,the art of computer programming,SUBJECT,1968 books
5197,the art of computer programming,SUBJECT,1973 books
5198,the art of computer programming,SUBJECT,2011 books
5199,the art of computer programming,SUBJECT,addison-wesley books
5200,the art of computer programming,SUBJECT,books by donald knuth
5201,the art of computer programming,SUBJECT,computer programming books
5202,the art of computer programming,SUBJECT,computer science books
5203,the art of computer programming,SUBJECT,monographs
5204,the art of computer programming,SUBJECT,1969 books
5205,the art of computer programming,SUBJECT,1981 books
5206,the art of computer programming,SUBJECT,american non-fiction books
5207,the art of computer programming,SUBJECT,analysis of algorithms
5208,the art of computer programming,SUBJECT,computer arithmetic algorithms
5209,association for computing machinery,CLOSELY_RELATED_TO,donald knuth
5210,association for computing machinery,SUBJECT,1947 establishments in the united states
5211,association for computing machinery,SUBJECT,association for computing machinery
5212,association for computing machinery,SUBJECT,computer-related organizations
5213,association for computing machinery,SUBJECT,computer science-related professional associations
5214,association for computing machinery,SUBJECT,computer science organizations
5215,association for computing machinery,SUBJECT,international learned societies
5216,association for computing machinery,SUBJECT,organizations established in 1947
5217,grace murray hopper award,CLOSELY_RELATED_TO,donald knuth
5218,turing award,CLOSELY_RELATED_TO,donald knuth
5219,turing award,SUBJECT,awards established in 1966
5220,turing award,SUBJECT,academic awards
5221,turing award,SUBJECT,alan turing
5222,turing award,SUBJECT,association for computing machinery
5223,turing award,SUBJECT,computer science awards
5224,turing award,SUBJECT,systems sciences awards
5225,lester r. ford award,CLOSELY_RELATED_TO,donald knuth
5226,josiah willard gibbs lectureship,CLOSELY_RELATED_TO,donald knuth
5227,national medal of science,CLOSELY_RELATED_TO,donald knuth
5228,national medal of science,SUBJECT,american science and technology awards
5229,national medal of science,SUBJECT,civil awards and decorations of the united states
5230,national medal of science,SUBJECT,science and technology awards
5231,national medal of science,SUBJECT,awards established in 1959
5232,academy of achievement,CLOSELY_RELATED_TO,donald knuth
5233,academy of achievement,SUBJECT,"charities based in washington, d.c."
5234,academy of achievement,SUBJECT,organizations established in 1961
5235,academy of achievement,SUBJECT,"1961 establishments in washington, d.c."
5236,franklin medal,CLOSELY_RELATED_TO,donald knuth
5237,john von neumann medal,CLOSELY_RELATED_TO,donald knuth
5238,harvey prize,CLOSELY_RELATED_TO,donald knuth
5239,technion – israel institute of technology,CLOSELY_RELATED_TO,donald knuth
5240,kyoto prize,CLOSELY_RELATED_TO,donald knuth
5241,computer history museum,CLOSELY_RELATED_TO,donald knuth
5242,computer history museum,SUBJECT,1996 establishments in california
5243,computer history museum,SUBJECT,"buildings and structures in mountain view, california"
5244,computer history museum,SUBJECT,silicon valley
5245,computer history museum,SUBJECT,museums established in 1996
5246,computer history museum,SUBJECT,computer museums in california
5247,computer history museum,SUBJECT,computer museums in the united states
5248,computer history museum,SUBJECT,"museums in santa clara county, california"
5249,21656 knuth,CLOSELY_RELATED_TO,donald knuth
5250,bbva foundation frontiers of knowledge award,CLOSELY_RELATED_TO,donald knuth
5251,turing lecture,CLOSELY_RELATED_TO,donald knuth
5252,stanford university school of engineering,CLOSELY_RELATED_TO,donald knuth
5253,asymptotic notation,SEE_ALSO,donald knuth
5254,asymptotic notation,SUBJECT,analysis of algorithms
5255,asymptotic notation,SUBJECT,asymptotic analysis
5256,asymptotic notation,SUBJECT,mathematical notation
5257,attribute grammar,SEE_ALSO,donald knuth
5258,attribute grammar,SUBJECT,parsing
5259,attribute grammar,SUBJECT,compiler construction
5260,attribute grammar,SUBJECT,formal languages
5261,cc system,SEE_ALSO,donald knuth
5262,dancing links,SEE_ALSO,donald knuth
5263,dancing links,SUBJECT,articles containing video clips
5264,dancing links,SUBJECT,donald knuth
5265,dancing links,SUBJECT,linked lists
5266,dancing links,SUBJECT,search algorithms
5267,dancing links,SUBJECT,sudoku
5268,knuth -yllion,SEE_ALSO,donald knuth
5269,knuth prize,SEE_ALSO,donald knuth
5270,knuth prize,SUBJECT,ieee society and council awards
5271,knuth prize,SUBJECT,computer science awards
5272,knuth prize,SUBJECT,donald knuth
5273,knuth prize,SUBJECT,theoretical computer science
5274,knuth shuffle,SEE_ALSO,donald knuth
5275,knuth shuffle,SUBJECT,monte carlo methods
5276,knuth shuffle,SUBJECT,permutations
5277,knuth shuffle,SUBJECT,combinatorial algorithms
5278,knuth shuffle,SUBJECT,randomness
5279,knuth's algorithm x,SEE_ALSO,donald knuth
5280,knuth's simpath algorithm,SEE_ALSO,donald knuth
5281,knuth's up-arrow notation,SEE_ALSO,donald knuth
5282,knuth's up-arrow notation,SUBJECT,large numbers
5283,knuth's up-arrow notation,SUBJECT,1976 introductions
5284,knuth's up-arrow notation,SUBJECT,donald knuth
5285,knuth's up-arrow notation,SUBJECT,mathematical notation
5286,dragon curve,SEE_ALSO,donald knuth
5287,dragon curve,SUBJECT,fractal curves
5288,dragon curve,SUBJECT,paper folding
5289,dragon curve,SUBJECT,iterated function system fractals
5290,bender–knuth involution,SEE_ALSO,donald knuth
5291,trabb pardo–knuth algorithm,SEE_ALSO,donald knuth
5292,fisher–yates shuffle,SEE_ALSO,donald knuth
5293,man or boy test,SEE_ALSO,donald knuth
5294,man or boy test,SUBJECT,programming language design
